IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE,Defasagem
10.0,7.9,7.52,4.9,5.625,6.59,5.0,6.6927,-2
8.0,8.5,6.89,7.9,6.25,9.245,5.0,7.7432,-2
10.0,6.1,7.52,6.0,5.625,8.17,10.0,7.3687,0
10.0,9.2,7.52,8.7,6.25,8.67,10.0,8.6912,0
10.0,8.4,7.52,8.4,7.5,8.67,10.0,8.5962,0
9.5,9.7,2.52,6.6,6.25,9.005,5.0,7.3882,-1
0.0,7.2,2.52,7.0,6.25,6.35,10.0,5.987,0
10.0,8.7,2.52,7.7,5.625,7.01,10.0,7.4967,0
0.0,8.4,7.52,5.3,6.25,8.09,5.0,6.225,-1
9.0,6.3,7.52,6.1,5.625,6.35,10.0,6.9647,0
9.0,9.7,7.52,6.3,5.625,6.68,10.0,7.7407,0
8.5,9.7,3.14,8.4,7.5,10.01,10.0,8.5262,0
0.0,9.5,3.14,5.4,5.625,7.675,5.0,5.8915,-2
8.5,8.4,2.52,7.1,5.625,5.925,5.0,6.4497,-2
9.5,9.9,7.52,7.3,7.5,10.01,10.0,8.8842,0
0.0,7.6,7.52,7.5,7.5,10.01,5.0,7.024,-2
9.0,5.6,7.52,5.0,5.625,5.93,10.0,6.5207,0
9.0,8.9,7.52,5.4,5.625,5.595,10.0,7.1837,0
10.0,9.5,3.77,7.4,6.25,9.84,5.0,7.8402,-1
0.0,9.5,3.77,6.0,5.625,8.01,10.0,6.6415,0
9.5,9.7,7.52,7.8,6.25,9.84,5.0,8.2852,-1
9.5,9.9,3.77,7.2,6.25,7.68,5.0,7.3982,-2
0.0,9.6,7.52,7.3,5.625,8.255,10.0,7.3355,0
7.9,9.5,2.52,6.4,5.625,6.43,5.0,6.5623,-2
8.0,9.2,7.52,7.3,7.5,10.01,10.0,8.6042,0
10.0,9.9,3.14,6.1,5.625,6.265,5.0,6.8297,-2
9.5,6.9,4.39,5.1,5.625,7.095,5.0,6.2707,-2
9.5,5.3,7.52,5.9,5.625,7.095,5.0,6.4137,-2
9.0,10.0,3.77,6.8,7.5,9.51,5.0,7.7792,-1
9.0,9.7,3.77,6.4,7.5,9.255,5.0,7.5982,-1
8.5,10.0,7.52,9.8,8.75,9.67,10.0,9.3712,0
8.5,9.8,7.52,8.8,8.75,9.67,10.0,9.1312,0
9.0,8.8,7.52,9.0,8.75,9.0,10.0,8.8872,0
8.5,8.2,2.52,7.8,5.625,7.6,10.0,7.3747,0
9.5,7.9,7.52,7.5,8.125,9.0,10.0,8.3847,0
9.0,8.4,7.52,7.7,8.75,9.67,10.0,8.6712,0
9.0,9.6,7.52,8.7,9.375,9.67,10.0,9.1737,0
0.0,9.8,7.52,9.4,9.375,9.67,5.0,7.9535,-1
9.0,10.0,7.52,6.5,8.125,8.915,10.0,8.5477,0
9.5,9.6,7.52,9.2,9.375,9.67,10.0,9.3237,0
10.0,8.7,7.52,6.1,5.625,6.59,5.0,7.0927,-2
8.5,8.4,7.52,4.2,6.25,7.5,5.0,6.7372,-1
9.0,10.0,7.52,5.4,7.5,10.01,5.0,7.9742,-2
0.0,9.5,7.52,7.9,7.5,10.01,10.0,7.974,0
9.0,7.7,7.52,7.2,6.875,9.085,5.0,7.6267,-2
9.0,8.4,2.52,6.3,6.25,7.02,5.0,6.6112,-2
8.0,10.0,7.52,5.0,5.0,8.175,10.0,7.6872,0
9.5,8.9,2.52,7.1,5.625,7.0,5.0,6.8547,-2
9.5,9.4,7.52,8.0,7.5,9.925,10.0,8.9172,0
8.5,9.8,2.52,7.5,7.5,9.345,5.0,7.6812,-1
10.0,9.1,7.52,7.9,7.5,10.01,5.0,8.4042,-2
9.0,9.2,7.52,6.2,7.5,10.01,5.0,7.9842,-1
9.0,9.6,7.52,8.2,7.5,10.01,5.0,8.4642,-1
9.0,7.6,7.52,7.5,5.625,6.67,5.0,7.0687,-1
8.5,9.2,7.52,7.9,6.875,6.84,10.0,8.0777,0
9.5,9.4,7.52,9.3,7.5,7.0,10.0,8.5822,0
9.5,6.1,2.52,5.6,6.875,6.67,5.0,6.0537,-2
9.0,7.9,7.52,3.3,4.375,5.08,10.0,6.3457,0
9.0,7.6,7.52,0.0,6.875,8.34,10.0,6.5277,0
9.5,8.1,7.52,8.9,6.25,6.5,10.0,8.0172,0
9.0,10.0,7.52,9.3,7.5,8.17,10.0,8.8862,0
10.0,7.5,2.52,7.9,5.625,7.67,5.0,6.9287,-1
9.5,9.7,7.52,8.4,7.5,9.09,10.0,8.8902,0
10.0,9.3,3.77,8.0,7.8125,8.675,5.0,7.85345,-2
9.5,9.2,3.77,9.0,7.1875,8.425,10.0,8.37095,0
10.0,10.0,3.77,7.3,7.8125,8.34,5.0,7.77645,-1
7.4,8.8,3.14,8.3,6.5625,7.09,10.0,7.54005,0
0.0,8.3,3.14,7.7,7.1875,8.005,10.0,6.82375,0
9.5,8.8,3.14,8.3,8.75,8.675,5.0,7.7842,-2
9.0,8.8,3.14,7.8,6.875,7.09,5.0,7.1297,-2
8.0,9.4,3.77,8.3,7.8125,8.59,5.0,7.71645,-1
9.5,6.8,3.77,8.9,7.5,7.925,5.0,7.2922,-1
0.0,9.5,3.14,6.9,5.0,6.34,5.0,5.852,-1
9.5,9.7,7.52,9.1,7.5,10.01,5.0,8.7142,-2
10.0,9.0,7.52,7.3,5.625,8.425,5.0,7.7597,-1
8.0,7.5,7.52,7.8,7.5,9.345,5.0,7.7312,-2
9.0,9.8,7.52,5.9,5.625,8.34,5.0,7.5227,-1
